userId,movieId,tag,timestamp
2,6802,funny,1445714994
2,6802,Highly quotable,1445714996
2,6802,will ferrell,1445714992
2,7698,Boxing story,1445715207
2,7698,MMA,1445715200
2,7698,Tom Hardy,1445715205
2,8306,drugs,1445715054
2,8306,Leonardo DiCaprio,1445715051
2,8306,Martin Scorsese,1445715056
7,6316,way too long,1169687325
18,376,Al Pacino,1462138765
18,376,gangster,1462138749
18,376,mafia,1462138755
18,923,Al Pacino,1461699306
18,923,Mafia,1461699303
18,4166,holocaust,1455735472
18,4166,true story,1455735479
18,6171,twist ending,1456948283
18,6465,Anthony Hopkins,1457650696
18,6465,courtroom drama,1457650711
18,6465,twist ending,1457650682
18,7643,britpop,1457444500
18,7643,indie record label,1457444592
18,7643,music,1457444609
18,9101,dumpster diving,1455060381
18,9101,Sustainability,1455060452
21,1179,romantic comedy,1419805413
21,1179,wedding,1419805419
21,8633,painter,1419805477
21,8636,bloody,1419793962
49,8377,black hole,1493093306
49,8377,sci-fi,1493093332
49,8377,time-travel,1493093356
62,2,fantasy,1528843929
62,2,magic board game,1528843932
62,2,Robin Williams,1528843907
62,98,beautiful scenery,1528152541
62,98,epic,1528152532
62,98,historical,1528152523
62,98,inspirational,1528152527
62,98,Medieval,1528152528
62,98,mel gibson,1528152521
62,98,Oscar (Best Cinematography),1528152539
62,98,revenge,1528152531
62,98,sword fight,1528152535
62,356,black comedy,1525636607
62,356,Christina Ricci,1525636685
62,356,Christopher Lloyd,1525636622
62,356,dark comedy,1525636610
62,356,family,1525636708
62,356,gothic,1525636609
62,1499,Al Pacino,1525636728
62,1499,Andy Garcia,1525636768
62,1499,Classic,1525636752
62,1499,Francis Ford Coppola,1525636752
62,1499,mafia,1525636733
62,1586,black comedy,1525636847
62,1586,Christina Ricci,1525636867
62,1586,Christopher Lloyd,1525636859
62,1586,Family,1525636855
62,1586,gothic,1525636849
62,1586,quirky,1525636846
62,2225,family,1525636883
62,2225,funny,1525636885
62,2225,Macaulay Culkin,1525636890
62,2225,sequel,1525636887
62,2356,animation,1525636903
62,2356,Disney,1525636902
62,2356,funny,1525636913
62,2356,original,1525636917
62,2356,Pixar,1525636901
62,2356,sequel,1525636910
62,2356,Tom Hanks,1525636925
62,2675,ancient Rome,1528152504
62,2675,Epic,1528152469
62,2675,history,1528152467
62,2675,imdb top 250,1528152498
62,2675,revenge,1528152496
62,2675,Rome,1528152463
62,2675,Russell Crowe,1528152465
62,3139,Ed Harris,1528024869
62,3139,Jude Law,1528024854
62,3139,Rachel Weisz,1528024873
62,3139,sniper,1528024852
62,3139,World War II,1528024877
62,3840,Al Pacino,1530310809
62,3840,atmospheric,1530310959
62,3840,Hilary Swank,1530310952
62,3840,Robin Williams,1530310811
62,4198,sequel,1525555053
62,4198,violent,1525555051
62,4423,dogs,1525554096
62,4423,Eric Bana,1525554086
62,4423,mad scientist,1525554098
